step,loss
00399,5.9405
00400,5.9421
00401,5.9680
00402,5.9835
00403,5.9519
00404,5.9329
00405,5.9470
00406,5.9599
00407,5.9384
00408,5.9379
00409,5.9385
00410,5.9487
00411,5.9390
00412,5.9372
00413,5.9590
00414,5.9598
00415,5.9550
00416,5.9603
00417,5.9597
00418,5.9487
00419,5.9630
00420,5.9413
00421,5.9580
00422,5.9532
00423,5.9430
00424,5.9326
00425,5.9409
00426,5.9434
00427,5.9331
00428,5.9363
00429,5.9326
00430,5.9333
00431,5.9451
00432,5.9432
00433,5.9584
00434,5.9570
00435,5.9512
00436,5.9454
00437,5.9337
00438,5.9511
00439,5.9278
00440,5.9553
00441,5.9533
00442,5.9424
00443,5.9396
00444,5.9409
00445,5.9614
00446,5.9334
00447,5.9296
00448,5.9416
00449,5.9641
00450,5.9501
00451,5.9540
00452,5.9417
00453,5.9481
00454,5.9379
00455,5.9560
00456,5.9408
00457,5.9279
00458,5.9352
00459,5.9232
00460,5.9276
00461,5.9359
00462,5.9463
00463,5.9373
00464,5.9253
00465,5.9261
00466,5.9268
00467,5.9325
00468,5.9392
00469,5.9693
00470,5.9574
00471,5.9410
00472,5.9343
00473,5.9238
00474,5.9206
00475,5.9216
00476,5.9314
00477,5.9299
00478,5.9242
00479,5.9325
00480,5.9317
00481,5.9362
00482,5.9318
00483,5.9325
00484,5.9730
00485,5.9567
00486,5.9287
00487,5.9411
00488,5.9288
00489,5.9246
00490,5.9408
00491,5.9545
00492,5.9195
00493,5.9235
00494,5.9227
00495,5.9246
00496,5.9233
00497,5.9252
00498,5.9356
00499,5.9454
00500,5.9367
00501,5.9296
00502,5.9375
00503,5.9426
00504,5.9454
00505,5.9276
00506,5.9118
00507,5.9257
00508,5.9380
00509,5.9416
00510,5.9335
00511,5.9223
00512,5.9280
00513,5.9106
00514,5.9113
00515,5.9205
00516,5.9264
00517,5.9373
00518,5.9495
00519,5.9278
00520,5.9196
00521,5.9238
00522,5.9425
00523,5.9473
00524,5.9613
00525,5.9308
00526,5.9371
00527,5.9326
00528,5.9263
00529,5.9330
00530,5.9244
00531,5.9210
00532,5.9137
00533,5.9041
00534,5.9105
00535,5.9199
00536,5.9179
00537,5.9207
00538,5.9048
00539,5.9222
00540,5.9172
00541,5.9165
00542,5.9207
00543,5.9198
00544,5.9128
00545,5.9310
00546,5.9336
00547,5.9239
00548,5.9191
00549,5.9114
00550,5.9086
00551,5.9166
00552,5.9174
00553,5.9109
00554,5.9237
00555,5.9190
00556,5.9204
00557,5.9213
00558,5.9469
00559,5.9236
00560,5.9324
00561,5.9254
00562,5.9314
00563,5.9379
00564,5.9501
00565,5.9353
00566,5.9185
00567,5.9183
00568,5.9158
00569,5.9353
00570,5.9310
00571,5.9214
00572,5.9119
00573,5.9333
00574,5.9145
00575,5.9247
00576,5.9298
00577,5.9327
00578,5.9191
00579,5.9244
00580,5.9298
00581,5.9271
00582,5.9188
00583,5.9155
00584,5.9181
00585,5.9083
00586,5.9194
00587,5.9216
00588,5.9142
00589,5.9162
00590,5.9187
00591,5.9094
00592,5.9241
00593,5.9230
00594,5.9258
00595,5.9104
00596,5.9030
00597,5.9139
00598,5.9303
00599,5.9281
00600,5.9185
00601,5.9230
00602,5.9080
00603,5.9142
00604,5.9208
00605,5.9146
00606,5.9187
00607,5.9108
00608,5.9124
00609,5.9194
00610,5.9339
00611,5.9312
00612,5.9115
00613,5.9243
00614,5.9296
00615,5.9286
00616,5.9111
00617,5.9073
00618,5.9046
00619,5.9154
00620,5.9273
00621,5.9297
00622,5.9137
00623,5.9007
00624,5.9145
00625,5.9174
00626,5.9242
00627,5.9377
00628,5.9419
00629,5.9338
00630,5.9178
00631,5.9076
00632,5.9022
00633,5.9026
00634,5.9063
00635,5.9023
00636,5.9068
00637,5.8959
00638,5.9093
00639,5.9102
00640,5.9239
00641,5.9140
00642,5.9130
00643,5.8948
00644,5.9074
00645,5.9225
00646,5.9110
00647,5.9112
00648,5.9179
00649,5.9065
00650,5.9069
00651,5.9174
00652,5.9267
00653,5.9313
00654,5.9203
00655,5.9301
00656,5.9238
00657,5.9227
00658,5.9127
00659,5.8980
00660,5.9108
00661,5.9104
00662,5.9173
00663,5.9042
00664,5.9128
00665,5.8925
00666,5.9016
00667,5.9046
00668,5.9074
00669,5.9136
00670,5.9038
00671,5.9068
00672,5.9337
00673,5.9376
00674,5.9285
00675,5.9169
00676,5.9132
00677,5.9102
00678,5.9067
00679,5.9127
00680,5.8987
00681,5.8929
00682,5.9017
00683,5.9140
00684,5.9193
00685,5.9121
00686,5.9223
00687,5.9159
00688,5.9061
00689,5.9098
00690,5.9075
00691,5.8966
00692,5.9012
00693,5.9128
00694,5.9220
00695,5.9141
00696,5.9059
00697,5.8972
00698,5.8961
00699,5.8957
00700,5.9024
00701,5.9114
00702,5.9128
00703,5.9073
00704,5.9029
00705,5.9177
00706,5.9210
00707,5.8979
00708,5.9094
00709,5.9114
00710,5.9032
00711,5.9022
00712,5.9093
00713,5.9059
00714,5.9022
00715,5.8918
00716,5.8972
00717,5.9115
00718,5.9147
00719,5.9184
00720,5.9064
00721,5.8939
00722,5.9076
00723,5.9157
00724,5.9169
00725,5.9119
00726,5.9013
00727,5.9086
00728,5.9035
00729,5.9145
00730,5.9099
00731,5.9017
00732,5.9040
00733,5.9050
00734,5.9013
00735,5.8946
00736,5.8947
00737,5.8966
00738,5.9017
00739,5.8916
00740,5.9102
00741,5.9096
00742,5.8902
00743,5.8942
00744,5.8922
00745,5.9054
00746,5.8935
00747,5.9090
00748,5.8897
00749,5.8932
00750,5.8956
00751,5.8904
00752,5.9086
00753,5.9143
00754,5.9114
00755,5.8986
00756,5.9049
00757,5.9133
00758,5.9220
00759,5.9118
00760,5.9056
00761,5.9000
00762,5.9100
00763,5.9045
00764,5.8911
00765,5.8959
00766,5.8934
00767,5.8947
00768,5.9189
00769,5.9171
00770,5.9021
00771,5.8930
00772,5.8995
00773,5.9034
00774,5.9073
00775,5.9112
00776,5.9228
00777,5.9299
00778,5.9201
00779,5.9030
00780,5.8889
00781,5.8931
00782,5.8875
00783,5.8925
00784,5.8842
00785,5.8893
00786,5.8982
00787,5.8875
00788,5.8937
00789,5.9030
00790,5.9058
00791,5.9249
00792,5.9068
00793,5.8881
00794,5.8903
00795,5.9059
00796,5.9080
00797,5.8998
00798,5.8905
00799,5.8995
00800,5.9083
00801,5.8995
00802,5.8863
00803,5.8842
00804,5.8871
00805,5.8968
00806,5.8975
00807,5.8951
00808,5.8978
00809,5.8887
00810,5.9061
00811,5.9044
00812,5.9279
00813,5.9021
00814,5.8994
00815,5.8824
00816,5.8855
00817,5.8891
00818,5.8994
00819,5.8921
00820,5.8992
00821,5.8927
00822,5.8916
00823,5.9015
00824,5.8832
00825,5.8855
00826,5.9091
00827,5.8996
00828,5.8917
00829,5.9038
00830,5.8993
00831,5.9010
00832,5.8921
00833,5.9037
00834,5.9083
00835,5.8925
00836,5.8929
00837,5.8986
00838,5.8965
00839,5.8910
00840,5.8864
00841,5.8927
