step,loss
00399,6.3788
00400,6.3867
00401,6.4178
00402,6.4188
00403,6.3892
00404,6.4005
00405,6.4007
00406,6.3992
00407,6.4252
00408,6.4141
00409,6.3982
00410,6.4289
00411,6.4048
00412,6.3821
00413,6.3844
00414,6.3879
00415,6.3962
00416,6.3996
00417,6.3895
00418,6.3852
00419,6.3888
00420,6.4133
00421,6.4184
00422,6.4375
00423,6.4179
00424,6.3884
00425,6.3755
00426,6.3815
00427,6.4083
00428,6.3728
00429,6.3966
00430,6.4244
00431,6.3855
00432,6.4085
00433,6.4295
00434,6.4118
00435,6.3805
00436,6.3686
00437,6.3734
00438,6.3785
00439,6.3735
00440,6.4000
00441,6.3914
00442,6.3729
00443,6.4065
00444,6.3866
00445,6.4415
00446,6.3925
00447,6.3895
00448,6.3934
00449,6.4065
00450,6.4060
00451,6.3976
00452,6.3748
00453,6.3631
00454,6.3613
00455,6.3818
00456,6.3909
00457,6.4247
00458,6.4176
00459,6.3767
00460,6.3666
00461,6.3621
00462,6.3768
00463,6.4057
00464,6.4028
00465,6.3859
00466,6.3951
00467,6.4131
00468,6.3871
00469,6.3744
00470,6.3572
00471,6.3687
00472,6.3843
00473,6.4012
00474,6.4156
00475,6.3759
00476,6.3670
00477,6.3624
00478,6.3541
00479,6.3579
00480,6.3994
00481,6.3816
00482,6.3892
00483,6.3678
00484,6.3571
00485,6.3923
00486,6.3928
00487,6.4214
00488,6.4028
00489,6.3458
00490,6.3570
00491,6.3603
00492,6.3701
00493,6.3650
00494,6.3575
00495,6.3944
00496,6.3853
00497,6.3741
00498,6.3562
00499,6.3613
00500,6.3507
00501,6.3537
00502,6.3697
00503,6.3929
00504,6.3420
00505,6.3649
00506,6.3625
00507,6.3506
00508,6.3598
00509,6.3525
00510,6.3793
00511,6.3618
00512,6.3545
00513,6.3524
00514,6.3984
00515,6.4034
00516,6.3556
00517,6.3657
00518,6.3357
00519,6.3495
00520,6.3510
00521,6.3524
00522,6.3843
00523,6.3812
00524,6.3961
00525,6.3547
00526,6.3550
00527,6.3636
00528,6.3796
00529,6.3894
00530,6.3682
00531,6.3596
00532,6.3658
00533,6.4157
00534,6.4929
00535,6.4264
00536,6.3993
00537,6.3544
00538,6.3667
00539,6.3710
00540,6.3726
00541,6.3918
00542,6.3543
00543,6.3650
00544,6.3437
00545,6.3768
00546,6.3644
00547,6.3440
00548,6.3417
00549,6.3945
00550,6.3862
00551,6.3651
00552,6.3377
00553,6.3494
00554,6.3535
00555,6.3629
00556,6.3713
00557,6.3718
00558,6.3592
00559,6.3527
00560,6.3336
00561,6.3689
00562,6.3634
00563,6.3377
00564,6.3351
00565,6.3345
00566,6.3457
00567,6.3364
00568,6.3388
00569,6.3817
00570,6.3778
00571,6.3549
00572,6.3857
00573,6.3812
00574,6.3414
00575,6.3516
00576,6.3537
00577,6.3601
00578,6.3572
00579,6.3491
00580,6.3359
00581,6.3360
00582,6.3377
00583,6.3582
00584,6.3427
00585,6.3455
